Date,Return
08/19/2014,10.709158373764327
08/18/2014,-0.00800872922490672
08/15/2014,-0.014909911280304942
08/14/2014,0.002040089702735075
08/13/2014,0.00022621494111705633
08/12/2014,-0.02096447505923604
08/11/2014,0.009151752267003176
08/08/2014,0.0015672501266902827
08/07/2014,-0.009511780864465537
08/06/2014,0.005350132226136202
08/05/2014,-0.002302446861905791
08/04/2014,0.014299194299722174
08/01/2014,-0.012352880830157975
07/31/2014,0.009769170340578842
07/30/2014,0.027676672956724484
07/29/2014,-0.0030812856807615713
07/28/2014,0.008521100329473383
07/25/2014,-0.002675260387441137
07/24/2014,0.007351143070838646
07/23/2014,0.004432465089552041
07/22/2014,-0.002080552051473461
07/21/2014,-0.008861088811692466
07/18/2014,0.009517067581651729
07/17/2014,-0.03587756314124124
07/16/2014,0.015564863016084717
07/15/2014,0.003638487909387967
07/14/2014,0.00015384861130090204
07/11/2014,-0.00972858317747872
07/10/2014,-0.013950835836940432
07/09/2014,0.008720022151257532
07/08/2014,-0.00866195765437036
07/07/2014,0.019541598427366802
07/03/2014,0.004259331416111772
07/02/2014,-0.004095882067513588
07/01/2014,0.0005752058007033472
06/30/2014,-0.012682967580093575
06/27/2014,0.0034070663349761885
06/26/2014,-0.002148202387102835
06/25/2014,0.0046007240404843065
06/24/2014,-0.024246075011770507
06/23/2014,0.0005844736224963093
06/20/2014,-0.015204969973240957
06/19/2014,-0.0026241830119632333
06/18/2014,-0.002757266391458649
06/17/2014,-0.01872159595157023
06/16/2014,0.0023388468623826595
06/13/2014,0.01374283972921071
06/12/2014,-0.0007430715544763545
06/11/2014,0.013584817926889932
06/10/2014,0.003059917603009656
06/09/2014,0.0028008812184235495
06/06/2014,-0.010300332159596519
06/05/2014,-0.004367898670123072
06/04/2014,-0.0166817499770841
06/03/2014,0.0005140872244769167
06/02/2014,0.016497243268481714
05/30/2014,0.010759562093061366
05/29/2014,0.000339306170346879
05/28/2014,0.0028567753908925624
05/27/2014,0.007602178300838386
05/23/2014,-0.023412002321926032
05/22/2014,-0.01382304786134385
05/21/2014,-0.011228060012109584
05/20/2014,-0.01701489044846365
05/19/2014,-0.0017177696857747955
05/16/2014,-0.015561758862146162
05/15/2014,-0.001248554733522299
05/14/2014,0.012827528344982894
05/13/2014,0.01222822653663265
05/12/2014,-0.005946454648352191
05/09/2014,-0.021116396343799058
05/08/2014,-0.014901830640510979
05/07/2014,-0.002035200181178124
05/06/2014,0.010157630841906929
05/05/2014,0.024595264768865005
05/02/2014,0.00022738950774758726
05/01/2014,0.006478147446037391
04/30/2014,-0.008826621825869772
04/29/2014,0.001974741359354528
04/28/2014,-0.01999242527620812
04/25/2014,-0.0018756696805476809
04/24/2014,0.017396974083298357
04/23/2014,0.003389481283143696
04/22/2014,0.014935283504264355
04/21/2014,-0.011574172009933976
04/17/2014,0.014149959975022813
04/16/2014,0.0381272122639258
04/15/2014,-0.03611592351196764
04/14/2014,-0.0073074978384821
04/11/2014,-0.0036054821897516737
04/10/2014,0.019506208709289107
04/09/2014,0.042869063128883216
04/08/2014,-0.016378948698954413
04/07/2014,-0.03018555358991495
04/04/2014,0.009272472780464275
04/03/2014,0.04897446426854562
04/02/2014,-0.0048091842517416815
04/01/2014,0.0002821574492534995
03/31/2014,-0.01796672727468732
03/28/2014,0.0054222820403757935
03/27/2014,-0.002732204132031737
03/26/2014,0.012459184572968799
03/25/2014,0.02363140190066582
03/24/2014,-0.0006818384999489851
03/21/2014,0.02168525115104359
03/20/2014,0.011935343015371351
03/19/2014,0.0017458656384314228
03/18/2014,0.01001454001204687
03/17/2014,-0.015818179871458424
03/14/2014,-0.01618989603765323
03/13/2014,0.013864202777114738
03/12/2014,0.015339836981823365
03/11/2014,-0.006054843274750557
03/10/2014,0.009650069463688578
03/07/2014,0.002657734517790174
03/06/2014,0.003967764774842837
03/05/2014,-0.0011069213615296518
03/04/2014,-0.0027498506131682574
03/03/2014,-0.010058316550538553
02/28/2014,0.010775858208817926
02/27/2014,0.0029285126088727555
02/26/2014,0.0007872993439880015
02/25/2014,-0.00013928017616674453
02/24/2014,-0.006139348941820821
02/21/2014,-0.007191644070365842
02/20/2014,0.00026575983998719505
02/19/2014,-0.001469893246117172
02/18/2014,0.0071027715782418345
02/14/2014,-0.006672814843603396
02/13/2014,-0.0024110326426566345
02/12/2014,-0.011009330673537062
02/11/2014,0.002941024864994615
02/10/2014,-0.01449367738620433
02/07/2014,0.003845076866794701
02/06/2014,-0.014845724082315137
02/05/2014,-0.014448750452257728
02/04/2014,-0.004408730132447933
02/03/2014,-0.004155780617959929
01/31/2014,0.04194343733374118
01/30/2014,-0.038595389803067474
01/29/2014,-0.025075050319430737
01/28/2014,0.01453582024908415
01/27/2014,-0.01939436239223595
01/24/2014,0.02052252656754205
01/23/2014,0.03227364008905665
01/22/2014,0.004241000299262316
01/21/2014,-0.001133021216837674
01/17/2014,-0.011317375511029466
01/16/2014,0.004945502054660642
01/15/2014,-0.006573068784194309
01/14/2014,0.0006790860922790147
01/13/2014,-0.022985964116650017
01/10/2014,0.006411494898295954
01/09/2014,5.312417385399415e-05
01/08/2014,0.009723611041203636
01/07/2014,-0.002076757171132107
01/06/2014,-0.018913569871598427
01/03/2014,-0.01102643291667078
01/02/2014,0.007348456120671386
12/31/2013,0.006818662046065466
12/30/2013,-0.010038296402671858
12/27/2013,0.008057975622659747
12/26/2013,-0.0008405163357431458
12/24/2013,-0.005029251005553768
12/23/2013,0.0029320560024762425
12/20/2013,-0.01298536009769126
12/19/2013,-0.013083502865431331
